Paper_ID,Objective,Category
1,Biodiversity conservation,Ecological
1,Sustainable use,Socioeconomic
2,Sustainable use,Socioeconomic
2,Biodiversity conservation ,Ecological
2,Climate change,Ecological
3,Marine conservation,Ecological
3,Sustainable use,Socioeconomic
4,Biodiversity conservation,Ecological
4,Marine conservation,Ecological
4,Ecological processes,Ecological
4,Sustainable use,Socioeconomic
4,Climate change,Ecological
5,Livelihoods,Socioeconomic
5,Cultural value,Socioeconomic
6,Biodiversity conservation,Ecological
6,Ecological processes,Ecological
6,Climate change,Ecological
6,Marine conservation,Ecological
6,Sustainable use,Socioeconomic
7,Marine conservation,Ecological
8,Biodiversity conservation,Ecological
8,Sustainable use,Socioeconomic
8,Livelihoods,Socioeconomic
8,Cultural value,Socioeconomic
9,Sustainable use,Socioeconomic
10,Marine conservation,Ecological
10,Biodiversity conservation,Ecological
10,Climate change,Ecological
11,Biodiversity conservation,Ecological
11,Marine conservation,Ecological
12,Climate change,Ecological
13,Climate change,Ecological
14,Marine conservation,Ecological
14,Biodiversity conservation,Ecological
14,Ecological processes,Ecological
15,Biodiversity conservation,Ecological
15,Marine conservation,Ecological
15,Ecological processes,Ecological
16,Marine conservation,Ecological
17,Marine conservation,Ecological
18,Biodiversity conservation,Ecological
18,Climate change,Ecological
18,Marine conservation,Ecological
19,Marine conservation,Ecological
19,Biodiversity conservation,Ecological
19,Ecological processes,Ecological
20,Marine conservation,Ecological
21,Biodiversity conservation,Ecological
22,Sustainable use,Socioeconomic
23,Community-centred governance,Governance
24,Biodiversity conservation,Ecological
24,Sustainable use,Socioeconomic
24,Livelihoods,Socioeconomic
25,Biodiversity conservation,Ecological
26,Biodiversity conservation,Ecological
27,Biodiversity conservation,Ecological
27,Marine conservation,Ecological
27,Ecological processes,Ecological
28,Sustainable use,Socioeconomic
29,Marine conservation,Ecological
30,Ecological processes,Ecological
31,Marine conservation,Ecological
31,Ecological processes,Ecological
31,Climate change,Ecological
31,Sustainable use,Socioeconomic
31,Livelihoods,Socioeconomic
31,Community-centred governance,Governance
32,Marine conservation,Ecological
33,Biodiversity conservation,Ecological
34,Marine conservation,Ecological
34,Sustainable use,Socioeconomic
35,Ecological processes,Ecological
36,Biodiversity conservation,Ecological
37,Marine conservation,Ecological
38,Marine conservation,Ecological
38,Ecological processes,Ecological
38,Climate change,Ecological
38,Sustainable use,Socioeconomic
38,Livelihoods,Socioeconomic
38,Community-centred governance,Governance
39,Climate change,Ecological
40,Marine conservation,Ecological
41,Biodiversity conservation,Ecological
42,Marine conservation,Ecological
43,Marine conservation,Ecological
44,Marine conservation,Ecological
44,Biodiversity conservation,Ecological
45,Sustainable use,Socioeconomic
45,Marine conservation,Ecological
45,Legal structure,Governance
45,Biodiversity conservation,Ecological
45,Livelihoods,Socioeconomic
46,Biodiversity conservation,Ecological
47,Marine conservation,Ecological
48,Biodiversity conservation,Ecological
49,Marine conservation,Ecological
50,Marine conservation,Ecological
50,Sustainable use,Socioeconomic
51,Biodiversity conservation,Ecological
51,Ecological processes,Ecological
51,Marine conservation,Ecological
51,Sustainable use,Socioeconomic
52,Ecological processes,Ecological
52,Sustainable use,Socioeconomic
53,Marine conservation,Ecological
53,Sustainable use,Socioeconomic
54,Biodiversity conservation,Ecological
55,Climate change,Ecological
56,Marine conservation,Ecological
57,Marine conservation,Ecological
58,Food security,Socioeconomic
58,Livelihoods,Socioeconomic
58,Ecological processes,Ecological
58,Sustainable use,Socioeconomic
58,Climate change,Ecological
58,Biodiversity conservation,Ecological
59,Marine conservation,Ecological
60,Biodiversity conservation,Ecological
60,Climate change,Ecological
60,Sustainable use,Socioeconomic
61,Marine conservation,Ecological
62,Biodiversity conservation,Ecological