Citation,Guideline,Presence
ID01,Social context,0
ID01,Equity,1
ID01,Cultural identity,1
ID01,Synergies,0
ID01,Complementarity,1
ID01,Compliance,1
ID01,Education,1
ID01,Sustainable subsistence fisheries,0
ID01,Over-exploited species,0
ID01,Tourism sites,0
ID01,Shipping infrastructures,0
ID01,Precautionary approach,0
ID06,Social context,0
ID06,Equity,1
ID06,Cultural identity,1
ID06,Synergies,1
ID06,Complementarity,1
ID06,Compliance,1
ID06,Education,1
ID06,Sustainable subsistence fisheries,0
ID06,Over-exploited species,0
ID06,Tourism sites,0
ID06,Shipping infrastructures,0
ID06,Precautionary approach,0
ID24,Social context,1
ID24,Equity,1
ID24,Cultural identity,0
ID24,Synergies,0
ID24,Complementarity,0
ID24,Compliance,0
ID24,Education,0
ID24,Sustainable subsistence fisheries,0
ID24,Over-exploited species,0
ID24,Tourism sites,0
ID24,Shipping infrastructures,0
ID24,Precautionary approach,0
ID03,Social context,1
ID03,Equity,1
ID03,Cultural identity,1
ID03,Synergies,0
ID03,Complementarity,0
ID03,Compliance,0
ID03,Education,0
ID03,Sustainable subsistence fisheries,0
ID03,Over-exploited species,0
ID03,Tourism sites,0
ID03,Shipping infrastructures,0
ID03,Precautionary approach,0
ID28,Social context,1
ID28,Equity,0
ID28,Cultural identity,0
ID28,Synergies,0
ID28,Complementarity,0
ID28,Compliance,1
ID28,Education,0
ID28,Sustainable subsistence fisheries,0
ID28,Over-exploited species,0
ID28,Tourism sites,0
ID28,Shipping infrastructures,0
ID28,Precautionary approach,0
ID22,Social context,1
ID22,Equity,1
ID22,Cultural identity,1
ID22,Synergies,0
ID22,Complementarity,0
ID22,Compliance,0
ID22,Education,0
ID22,Sustainable subsistence fisheries,1
ID22,Over-exploited species,0
ID22,Tourism sites,0
ID22,Shipping infrastructures,0
ID22,Precautionary approach,1
ID31,Social context,0
ID31,Equity,1
ID31,Cultural identity,1
ID31,Synergies,0
ID31,Complementarity,0
ID31,Compliance,0
ID31,Education,0
ID31,Sustainable subsistence fisheries,1
ID31,Over-exploited species,0
ID31,Tourism sites,0
ID31,Shipping infrastructures,0
ID31,Precautionary approach,0
ID38,Social context,0
ID38,Equity,1
ID38,Cultural identity,1
ID38,Synergies,0
ID38,Complementarity,0
ID38,Compliance,0
ID38,Education,0
ID38,Sustainable subsistence fisheries,1
ID38,Over-exploited species,0
ID38,Tourism sites,0
ID38,Shipping infrastructures,0
ID38,Precautionary approach,0
ID50,Social context,0
ID50,Equity,1
ID50,Cultural identity,1
ID50,Synergies,0
ID50,Complementarity,0
ID50,Compliance,1
ID50,Education,0
ID50,Sustainable subsistence fisheries,0
ID50,Over-exploited species,0
ID50,Tourism sites,1
ID50,Shipping infrastructures,0
ID50,Precautionary approach,0
ID52,Social context,0
ID52,Equity,1
ID52,Cultural identity,0
ID52,Synergies,0
ID52,Complementarity,0
ID52,Compliance,0
ID52,Education,0
ID52,Sustainable subsistence fisheries,0
ID52,Over-exploited species,0
ID52,Tourism sites,0
ID52,Shipping infrastructures,0
ID52,Precautionary approach,0
ID53,Social context,1
ID53,Equity,1
ID53,Cultural identity,1
ID53,Synergies,0
ID53,Complementarity,0
ID53,Compliance,0
ID53,Education,0
ID53,Sustainable subsistence fisheries,1
ID53,Over-exploited species,1
ID53,Tourism sites,1
ID53,Shipping infrastructures,1
ID53,Precautionary approach,0
ID58,Social context,1
ID58,Equity,1
ID58,Cultural identity,0
ID58,Synergies,0
ID58,Complementarity,1
ID58,Compliance,1
ID58,Education,0
ID58,Sustainable subsistence fisheries,0
ID58,Over-exploited species,0
ID58,Tourism sites,0
ID58,Shipping infrastructures,0
ID58,Precautionary approach,0
ID04,Social context,0
ID04,Equity,1
ID04,Cultural identity,1
ID04,Synergies,1
ID04,Complementarity,1
ID04,Compliance,1
ID04,Education,1
ID04,Sustainable subsistence fisheries,0
ID04,Over-exploited species,0
ID04,Tourism sites,0
ID04,Shipping infrastructures,0
ID04,Precautionary approach,0